feature_ID	n_tissues	tissue
ENSRNOG00000001859	5	BAT,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000001991	5	ADRNL,BAT,BLOOD,COLON,SKM-VL
ENSRNOG00000002045	5	ADRNL,COLON,HEART,LUNG,WAT-SC
ENSRNOG00000002115	5	ADRNL,BAT,BLOOD,OVARY,WAT-SC
ENSRNOG00000002461	5	ADRNL,HEART,SKM-GN,TESTES,WAT-SC
ENSRNOG00000002540	5	ADRNL,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000002832	5	ADRNL,BAT,OVARY,SMLINT,WAT-SC
ENSRNOG00000002911	5	ADRNL,BAT,BLOOD,LUNG,WAT-SC
ENSRNOG00000003147	5	ADRNL,BLOOD,HEART,OVARY,SKM-GN
ENSRNOG00000003298	5	ADRNL,BAT,LUNG,SPLEEN,WAT-SC
ENSRNOG00000003510	5	ADRNL,COLON,HEART,LUNG,SPLEEN
ENSRNOG00000003597	5	ADRNL,BLOOD,HEART,SKM-GN,SKM-VL
ENSRNOG00000003620	5	COLON,LUNG,SKM-VL,SPLEEN,WAT-SC
ENSRNOG00000003622	5	BAT,KIDNEY,LUNG,SMLINT,TESTES
ENSRNOG00000003626	5	ADRNL,BAT,BLOOD,COLON,SKM-VL
ENSRNOG00000003666	5	ADRNL,BAT,LUNG,SMLINT,WAT-SC
ENSRNOG00000003890	5	ADRNL,COLON,LUNG,OVARY,WAT-SC
ENSRNOG00000003897	5	ADRNL,BAT,OVARY,SKM-VL,WAT-SC
ENSRNOG00000003954	5	ADRNL,BAT,LUNG,SMLINT,WAT-SC
ENSRNOG00000004009	5	ADRNL,BAT,COLON,OVARY,WAT-SC
ENSRNOG00000004245	5	BLOOD,COLON,SKM-GN,SKM-VL,WAT-SC
ENSRNOG00000004303	5	COLON,LUNG,SKM-GN,SPLEEN,WAT-SC
ENSRNOG00000004409	5	ADRNL,BAT,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000004737	5	ADRNL,COLON,KIDNEY,SMLINT,WAT-SC
ENSRNOG00000004742	5	ADRNL,BAT,BLOOD,COLON,WAT-SC
ENSRNOG00000005130	5	ADRNL,BAT,BLOOD,HEART,HIPPOC
ENSRNOG00000005342	5	BAT,COLON,LUNG,SMLINT,SPLEEN
ENSRNOG00000005404	5	ADRNL,BLOOD,LUNG,SPLEEN,WAT-SC
ENSRNOG00000005512	5	ADRNL,BAT,COLON,SKM-VL,WAT-SC
ENSRNOG00000005542	5	ADRNL,COLON,KIDNEY,LUNG,SMLINT
ENSRNOG00000005608	5	ADRNL,COLON,OVARY,SKM-GN,SKM-VL
ENSRNOG00000005730	5	BLOOD,COLON,HEART,SPLEEN,WAT-SC
ENSRNOG00000005731	5	ADRNL,BAT,COLON,LUNG,WAT-SC
ENSRNOG00000005872	5	ADRNL,BAT,BLOOD,SPLEEN,WAT-SC
ENSRNOG00000006079	5	ADRNL,BAT,LUNG,SPLEEN,WAT-SC
ENSRNOG00000006116	5	ADRNL,BAT,HEART,SKM-GN,SKM-VL
ENSRNOG00000006231	5	BAT,COLON,LUNG,OVARY,WAT-SC
ENSRNOG00000006526	5	ADRNL,COLON,HEART,LUNG,SKM-VL
ENSRNOG00000006557	5	BAT,COLON,LUNG,SMLINT,WAT-SC
ENSRNOG00000006608	5	ADRNL,BAT,COLON,OVARY,SMLINT
ENSRNOG00000006646	5	ADRNL,BLOOD,COLON,HEART,SPLEEN
ENSRNOG00000006932	5	ADRNL,BAT,LUNG,OVARY,WAT-SC
ENSRNOG00000007029	5	ADRNL,BAT,HEART,LUNG,SKM-VL
ENSRNOG00000007290	5	ADRNL,BAT,COLON,SKM-GN,SPLEEN
ENSRNOG00000007300	5	ADRNL,BAT,COLON,OVARY,WAT-SC
ENSRNOG00000007377	5	ADRNL,COLON,HEART,HIPPOC,TESTES
ENSRNOG00000007437	5	BAT,COLON,LUNG,SMLINT,WAT-SC
ENSRNOG00000007462	5	ADRNL,COLON,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000007967	5	ADRNL,BAT,COLON,OVARY,SKM-VL
ENSRNOG00000008005	5	BAT,COLON,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000008079	5	ADRNL,HEART,LIVER,SKM-GN,VENACV
ENSRNOG00000008409	5	BAT,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000008416	5	ADRNL,BLOOD,COLON,OVARY,SPLEEN
ENSRNOG00000008569	5	ADRNL,BAT,COLON,SKM-GN,SKM-VL
ENSRNOG00000008676	5	ADRNL,BAT,COLON,LUNG,WAT-SC
ENSRNOG00000008782	5	BLOOD,COLON,HIPPOC,SPLEEN,WAT-SC
ENSRNOG00000008843	5	ADRNL,BAT,COLON,HEART,WAT-SC
ENSRNOG00000009155	5	ADRNL,BAT,COLON,SKM-GN,SKM-VL
ENSRNOG00000009227	5	ADRNL,HEART,OVARY,SKM-VL,WAT-SC
ENSRNOG00000009343	5	ADRNL,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000009538	5	ADRNL,BAT,KIDNEY,OVARY,WAT-SC
ENSRNOG00000009565	5	ADRNL,COLON,CORTEX,OVARY,WAT-SC
ENSRNOG00000009760	5	ADRNL,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000009761	5	ADRNL,BLOOD,HEART,SKM-GN,SKM-VL
ENSRNOG00000010165	5	ADRNL,BAT,COLON,LUNG,VENACV
ENSRNOG00000010266	5	ADRNL,BAT,LUNG,SMLINT,WAT-SC
ENSRNOG00000010331	5	BAT,BLOOD,COLON,LUNG,SPLEEN
ENSRNOG00000010575	5	ADRNL,BAT,BLOOD,COLON,LUNG
ENSRNOG00000010633	5	ADRNL,BAT,BLOOD,OVARY,SKM-VL
ENSRNOG00000010697	5	ADRNL,BAT,COLON,HEART,KIDNEY
ENSRNOG00000010798	5	ADRNL,BAT,LUNG,SMLINT,SPLEEN
ENSRNOG00000010800	5	ADRNL,BAT,BLOOD,OVARY,WAT-SC
ENSRNOG00000010819	5	ADRNL,HEART,SKM-GN,SKM-VL,SMLINT
ENSRNOG00000010833	5	BAT,BLOOD,LUNG,SPLEEN,WAT-SC
ENSRNOG00000010872	5	ADRNL,BAT,HEART,KIDNEY,SPLEEN
ENSRNOG00000011383	5	ADRNL,BAT,COLON,SKM-VL,WAT-SC
ENSRNOG00000011500	5	ADRNL,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000011648	5	ADRNL,BAT,BLOOD,LUNG,WAT-SC
